layer,max_bond_chi,fidelity_with_zero,circuit_depth,circuit_size
1.000000000000000000e+00,1.000000000000000000e+00,9.977474534073816903e-01,1.000000000000000000e+01,1.600000000000000000e+01
2.000000000000000000e+00,1.000000000000000000e+00,9.971466207814791982e-01,1.200000000000000000e+01,2.400000000000000000e+01
3.000000000000000000e+00,1.000000000000000000e+00,9.989093481114688089e-01,1.400000000000000000e+01,3.200000000000000000e+01
4.000000000000000000e+00,1.000000000000000000e+00,9.990144778740024378e-01,1.600000000000000000e+01,4.000000000000000000e+01
5.000000000000000000e+00,1.000000000000000000e+00,9.982489527690345810e-01,1.800000000000000000e+01,4.800000000000000000e+01
6.000000000000000000e+00,1.000000000000000000e+00,9.974923430591365880e-01,2.000000000000000000e+01,5.600000000000000000e+01
7.000000000000000000e+00,1.000000000000000000e+00,9.981547212618646636e-01,2.200000000000000000e+01,6.400000000000000000e+01
8.000000000000000000e+00,2.000000000000000000e+00,9.936325837449819787e-01,2.400000000000000000e+01,7.200000000000000000e+01
9.000000000000000000e+00,3.000000000000000000e+00,9.823742912696299401e-01,2.600000000000000000e+01,8.000000000000000000e+01
1.000000000000000000e+01,4.000000000000000000e+00,9.881817627379552160e-01,2.800000000000000000e+01,8.800000000000000000e+01
1.100000000000000000e+01,5.000000000000000000e+00,9.876838973507765518e-01,3.000000000000000000e+01,9.600000000000000000e+01
1.200000000000000000e+01,5.000000000000000000e+00,9.553020802693860114e-01,3.200000000000000000e+01,1.040000000000000000e+02
1.300000000000000000e+01,6.000000000000000000e+00,9.859471965272568195e-01,3.400000000000000000e+01,1.120000000000000000e+02
1.400000000000000000e+01,6.000000000000000000e+00,9.750216906431020680e-01,3.600000000000000000e+01,1.200000000000000000e+02
1.500000000000000000e+01,6.000000000000000000e+00,9.774510193650519652e-01,3.800000000000000000e+01,1.280000000000000000e+02
1.600000000000000000e+01,7.000000000000000000e+00,9.614261206232970203e-01,4.000000000000000000e+01,1.360000000000000000e+02
1.700000000000000000e+01,7.000000000000000000e+00,9.707110436697169442e-01,4.200000000000000000e+01,1.440000000000000000e+02
1.800000000000000000e+01,7.000000000000000000e+00,9.629353037445810282e-01,4.400000000000000000e+01,1.520000000000000000e+02
1.900000000000000000e+01,7.000000000000000000e+00,9.676325141998147750e-01,4.600000000000000000e+01,1.600000000000000000e+02
2.000000000000000000e+01,7.000000000000000000e+00,9.709331919430616020e-01,4.800000000000000000e+01,1.680000000000000000e+02
2.100000000000000000e+01,7.000000000000000000e+00,9.709577031391151136e-01,5.000000000000000000e+01,1.760000000000000000e+02
2.200000000000000000e+01,7.000000000000000000e+00,9.679838390841887241e-01,5.200000000000000000e+01,1.840000000000000000e+02
2.300000000000000000e+01,7.000000000000000000e+00,9.669032554253631506e-01,5.400000000000000000e+01,1.920000000000000000e+02
2.400000000000000000e+01,7.000000000000000000e+00,9.661109877068574381e-01,5.600000000000000000e+01,2.000000000000000000e+02
2.500000000000000000e+01,7.000000000000000000e+00,9.571067155771758594e-01,5.800000000000000000e+01,2.080000000000000000e+02
2.600000000000000000e+01,7.000000000000000000e+00,9.503625449097056199e-01,6.000000000000000000e+01,2.160000000000000000e+02
2.700000000000000000e+01,7.000000000000000000e+00,9.535314586961016747e-01,6.200000000000000000e+01,2.240000000000000000e+02
2.800000000000000000e+01,7.000000000000000000e+00,9.585182530842631943e-01,6.400000000000000000e+01,2.320000000000000000e+02
2.900000000000000000e+01,7.000000000000000000e+00,9.519748531307354877e-01,6.600000000000000000e+01,2.400000000000000000e+02
3.000000000000000000e+01,8.000000000000000000e+00,9.353277736445290147e-01,6.800000000000000000e+01,2.480000000000000000e+02
3.100000000000000000e+01,8.000000000000000000e+00,9.392083350351071447e-01,7.000000000000000000e+01,2.560000000000000000e+02
3.200000000000000000e+01,8.000000000000000000e+00,9.401242035174345313e-01,7.200000000000000000e+01,2.640000000000000000e+02
3.300000000000000000e+01,8.000000000000000000e+00,9.177269626701950456e-01,7.400000000000000000e+01,2.720000000000000000e+02
3.400000000000000000e+01,8.000000000000000000e+00,9.371280404157672494e-01,7.600000000000000000e+01,2.800000000000000000e+02
3.500000000000000000e+01,8.000000000000000000e+00,9.396783924805697241e-01,7.800000000000000000e+01,2.880000000000000000e+02
3.600000000000000000e+01,8.000000000000000000e+00,9.383288613438990344e-01,8.000000000000000000e+01,2.960000000000000000e+02
3.700000000000000000e+01,8.000000000000000000e+00,9.206488912750692144e-01,8.200000000000000000e+01,3.040000000000000000e+02
3.800000000000000000e+01,7.000000000000000000e+00,9.318581888959872606e-01,8.400000000000000000e+01,3.120000000000000000e+02
3.900000000000000000e+01,8.000000000000000000e+00,9.279940778101902765e-01,8.600000000000000000e+01,3.200000000000000000e+02
4.000000000000000000e+01,8.000000000000000000e+00,9.315258938797744692e-01,8.800000000000000000e+01,3.280000000000000000e+02
4.100000000000000000e+01,8.000000000000000000e+00,9.202385882056622890e-01,9.000000000000000000e+01,3.360000000000000000e+02
4.200000000000000000e+01,8.000000000000000000e+00,9.256081775220785790e-01,9.200000000000000000e+01,3.440000000000000000e+02
4.300000000000000000e+01,8.000000000000000000e+00,9.287703495283741173e-01,9.400000000000000000e+01,3.520000000000000000e+02
4.400000000000000000e+01,8.000000000000000000e+00,9.011664932174320297e-01,9.600000000000000000e+01,3.600000000000000000e+02
4.500000000000000000e+01,8.000000000000000000e+00,9.111849339076190102e-01,9.800000000000000000e+01,3.680000000000000000e+02
4.600000000000000000e+01,8.000000000000000000e+00,9.132381390760516693e-01,1.000000000000000000e+02,3.760000000000000000e+02
4.700000000000000000e+01,8.000000000000000000e+00,9.070203384713728667e-01,1.020000000000000000e+02,3.840000000000000000e+02
4.800000000000000000e+01,8.000000000000000000e+00,8.993357946990797602e-01,1.040000000000000000e+02,3.920000000000000000e+02
4.900000000000000000e+01,8.000000000000000000e+00,9.019347752424525799e-01,1.060000000000000000e+02,4.000000000000000000e+02
5.000000000000000000e+01,8.000000000000000000e+00,9.058434287571927035e-01,1.080000000000000000e+02,4.080000000000000000e+02
