layer,max_bond_chi,fidelity_with_zero
1.000000000000000000e+00,1.000000000000000000e+00,9.977474534073816903e-01
2.000000000000000000e+00,1.000000000000000000e+00,9.971466207814791982e-01
3.000000000000000000e+00,1.000000000000000000e+00,9.989093481114688089e-01
4.000000000000000000e+00,1.000000000000000000e+00,9.990144778740024378e-01
5.000000000000000000e+00,1.000000000000000000e+00,9.982489527690345810e-01
6.000000000000000000e+00,1.000000000000000000e+00,9.974923430591365880e-01
7.000000000000000000e+00,1.000000000000000000e+00,9.981547212618646636e-01
8.000000000000000000e+00,2.000000000000000000e+00,9.936325837449819787e-01
9.000000000000000000e+00,3.000000000000000000e+00,9.823742912696299401e-01
1.000000000000000000e+01,4.000000000000000000e+00,9.881817627379552160e-01
