layer,chi_s1,chi_s2,target_s1,target_s2
0.000000000000000000e+00,9.994549592043601161e-01,5.450407956393573490e-04,5.435657162546612131e-01,4.564342837453380652e-01
1.000000000000000000e+00,9.999456705775254806e-01,5.432942247395453663e-05,5.435657162546612131e-01,4.564342837453380652e-01
2.000000000000000000e+00,9.999738564511468919e-01,2.614354885578776388e-05,5.435657162546612131e-01,4.564342837453380652e-01
3.000000000000000000e+00,9.999868684676151975e-01,1.313153238648686854e-05,5.435657162546612131e-01,4.564342837453380652e-01
4.000000000000000000e+00,9.999904134718523574e-01,9.586528147092895973e-06,5.435657162546612131e-01,4.564342837453380652e-01
5.000000000000000000e+00,9.999953700013268776e-01,4.629998675989450624e-06,5.435657162546612131e-01,4.564342837453380652e-01
6.000000000000000000e+00,9.999971565343241942e-01,2.843465677205417215e-06,5.435657162546612131e-01,4.564342837453380652e-01
7.000000000000000000e+00,9.999978661541818470e-01,2.133845820660278267e-06,5.435657162546612131e-01,4.564342837453380652e-01
8.000000000000000000e+00,9.999988864232203234e-01,1.113576780468110286e-06,5.435657162546612131e-01,4.564342837453380652e-01
9.000000000000000000e+00,9.999990536608757141e-01,9.463391257931859954e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.000000000000000000e+01,9.999991836876113149e-01,8.163123907295825874e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.100000000000000000e+01,9.999992958389963826e-01,7.041610041242418028e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.200000000000000000e+01,9.999993561923689045e-01,6.438076302650865028e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.300000000000000000e+01,9.999994156939039369e-01,5.843060991959320148e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.400000000000000000e+01,9.999994835793363235e-01,5.164206643383996560e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.500000000000000000e+01,9.999995454048505872e-01,4.545951513025441748e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.600000000000000000e+01,9.999995732069393295e-01,4.267930613215950225e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.700000000000000000e+01,9.999996113483209381e-01,3.886516800265071902e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.800000000000000000e+01,9.999996285387778849e-01,3.714612227857916228e-07,5.435657162546612131e-01,4.564342837453380652e-01
1.900000000000000000e+01,9.999996709168688103e-01,3.290831313548056455e-07,5.435657162546612131e-01,4.564342837453380652e-01
2.000000000000000000e+01,9.999996948077265468e-01,3.051922734339368137e-07,5.435657162546612131e-01,4.564342837453380652e-01
