layer,chi_s1,chi_s2,chi_s3,chi_s4,target_s1,target_s2,target_s3,target_s4
0.000000000000000000e+00,9.992004085481104303e-01,5.062142430650319169e-04,2.551730327126662122e-04,3.820417611178405977e-05,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.000000000000000000e+00,9.993201698221819695e-01,6.271285610615842535e-04,3.629818213081871092e-05,1.640343462468336899e-05,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
2.000000000000000000e+00,9.994606452102021699e-01,5.153582076642053249e-04,1.898172051469300718e-05,5.014861620537235889e-06,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
3.000000000000000000e+00,9.983612255601631569e-01,1.626833285777384668e-03,6.482382146066912431e-06,5.458771915185711148e-06,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
4.000000000000000000e+00,9.942560092141705663e-01,5.735071771963638418e-03,6.829551808654404421e-06,2.089462056412148938e-06,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
5.000000000000000000e+00,9.750878002627428875e-01,2.490799102428043615e-02,2.825704815655968679e-06,1.383008162952685376e-06,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
6.000000000000000000e+00,9.788042630270944455e-01,2.119325792994755653e-02,1.374083491793770501e-06,1.104959468292146685e-06,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
7.000000000000000000e+00,9.887247829720212655e-01,1.127312874442151780e-02,1.562879065716375229e-06,5.254044943971781723e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
8.000000000000000000e+00,9.842301986107369061e-01,1.576870228319960168e-02,6.343183030810754691e-07,4.647877612630393577e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
9.000000000000000000e+00,9.833013842424046524e-01,1.669769137955730287e-02,4.993097264426166970e-07,4.250683138621573579e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.000000000000000000e+01,9.873182466746821540e-01,1.268094284754769582e-02,4.453023987182163492e-07,3.651753737052783728e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.100000000000000000e+01,9.851776450200592228e-01,1.482165791793041421e-02,3.965028235335923823e-07,3.005591879189843743e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.200000000000000000e+01,9.791678044654416047e-01,2.083155559860130207e-02,3.526320568434460758e-07,2.873038989246689070e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.300000000000000000e+01,9.768224175091418937e-01,2.317701401540733785e-02,2.917772487027550782e-07,2.766982041272045288e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.400000000000000000e+01,9.764806296275925224e-01,2.351886333258341663e-02,2.981214129103254317e-07,2.089184114412641436e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.500000000000000000e+01,9.795548069595503282e-01,2.044474660864918636e-02,2.419615658514864777e-07,2.044702360463138157e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.600000000000000000e+01,9.640002856777585283e-01,3.599929247802070853e-02,2.392151607780843724e-07,1.826290601873069562e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.700000000000000000e+01,9.713806098887545204e-01,2.861900468702333403e-02,2.116122776917305167e-07,1.738119453246689270e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.800000000000000000e+01,9.607417113265722675e-01,3.925792230547112127e-02,2.169808132604427119e-07,1.493871443660093215e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
1.900000000000000000e+01,9.617214142970985646e-01,3.827825722623137694e-02,1.773735679317500872e-07,1.511031023174490485e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
2.000000000000000000e+01,9.665310226648352598e-01,3.346867605277155377e-02,1.835992693513379621e-07,1.176831240604260687e-07,8.606414311461083599e-01,1.380356545767193743e-01,1.163047919582876595e-03,1.598663575883680862e-04
