layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,chi_s9,chi_s10,chi_s11,chi_s12,chi_s13,chi_s14,chi_s15,chi_s16,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8,target_s9,target_s10,target_s11,target_s12,target_s13,target_s14,target_s15,target_s16
0.000000000000000000e+00,9.994063849184496862e-01,5.734943474696701377e-04,1.895933228395304781e-05,1.039519165302835159e-06,6.573051059056378919e-08,5.477707206749851821e-08,1.098700603671529580e-09,1.951076575337815591e-10,6.492017154103653933e-11,1.156348911942754951e-11,4.119709989807587143e-12,6.354380760145667743e-13,1.026127933501963740e-15,8.079793607368520782e-16,0.000000000000000000e+00,0.000000000000000000e+00,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.986664763557004942e-01,9.921665248331702509e-04,3.331661386834223592e-04,7.121719533495102148e-06,8.014657036177760350e-07,2.413690619592121695e-07,2.099864846062160744e-08,3.885535399228973357e-09,7.610983604659543778e-10,3.291580001374521496e-10,2.375129703569428432e-10,1.176933337603453377e-10,5.768371643250177576e-11,1.987289630156056322e-11,1.389130577192675754e-11,5.388213162055310376e-12,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.991832503891555639e-01,6.340396387084110087e-04,1.715272951074044280e-04,9.859777432617123117e-06,8.682471070750827972e-07,2.628381081115853764e-07,1.417455699896037883e-07,2.303369386815501518e-08,1.709553326788995851e-08,8.824586959452518236e-09,7.062092313513964689e-10,2.312727665684730004e-10,9.733829932427673695e-11,4.421466467402266714e-11,2.763673619078931223e-11,8.326155079870686349e-12,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.978813927951365459e-01,1.613022337468105307e-03,3.675645981603128053e-04,1.271054076323125314e-04,7.179833155748997725e-06,3.015737554974109328e-06,4.677128311025049062e-07,1.393248796086774752e-07,4.405349213134786601e-08,3.971076403999697013e-08,1.227966034295195121e-08,8.627627526504377200e-09,4.012594771751843268e-09,2.187053547284432746e-09,9.973839378798485099e-10,3.846058588819711471e-10,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,9.951468372509373328e-01,4.339374147394020609e-03,3.266266659314225268e-04,8.644509577391867915e-05,7.109516999953552222e-05,2.244181251218231249e-05,5.889895176153970689e-06,8.026474542057466651e-07,3.046622816765256837e-07,7.639209009196793465e-08,5.702652363159001309e-08,1.828795713764229565e-08,1.447822008130365652e-08,8.412813489000574806e-09,6.223348787982434736e-09,1.831585728782076723e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.611349318944950593e-01,3.617944009642868469e-02,1.746321603901095261e-03,7.800326200683706203e-04,1.224437221407204243e-04,2.434819829573087375e-05,6.947741237985781995e-06,5.016721430514600247e-06,2.541643470836227323e-07,1.576765333554713686e-07,4.315112708325549491e-08,3.088714074344306330e-08,1.301334834477961997e-08,9.961443941333586434e-09,4.785016633571929839e-09,3.763046237702741128e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,9.711797866080004171e-01,2.012540094627120191e-02,5.174846902627977877e-03,3.178037942288936858e-03,2.040267802133189203e-04,9.997766460977187465e-05,2.635465939619935423e-05,1.089232151298530937e-05,4.012025405971730194e-07,1.168968264646490903e-07,6.772543838971556426e-08,4.538293859473201135e-08,2.175758457915586444e-08,1.074410901587759467e-08,9.456979270202714263e-09,3.008663264818660292e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,9.770466299339386484e-01,1.185350618070525087e-02,7.074860096199127313e-03,1.699898990280135488e-03,1.321144118655253165e-03,4.883596406210914979e-04,3.782045611585149324e-04,1.369152888210458958e-04,2.495306303645235346e-07,9.033916073625882267e-08,4.781337885009991537e-08,3.428128431206168698e-08,2.671062667552824064e-08,1.366747807772481963e-08,1.301854140166513777e-08,5.828522407935986917e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,9.796842629768700572e-01,1.141560727685069464e-02,5.330103316092653885e-03,1.326958037804705590e-03,1.268811894273650254e-03,4.814908962660860328e-04,3.938085688175352230e-04,9.836806722876180052e-05,2.397069651577724554e-07,1.348029355732968815e-07,9.342806020225586436e-08,4.783881018348349096e-08,3.466311853498963121e-08,1.704826344159656657e-08,1.374388896366731239e-08,7.733754926311329440e-09,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,9.729451028629123588e-01,1.490976366785975483e-02,4.372942256288615652e-03,3.420754807670398252e-03,2.161342514727650817e-03,1.534894479583147255e-03,4.224702445803284689e-04,2.322500204626621440e-04,1.985991439908680154e-07,8.710618393029320359e-08,6.472018653129019256e-08,4.935376610561103706e-08,2.869895332163111491e-08,2.605179276729157202e-08,1.454760578824922678e-08,1.006828479861256601e-08,9.919614536520620085e-01,8.012467651340610467e-03,2.602467146754233485e-05,5.394317395546593708e-08,8.185929407991392720e-11,9.631227206843290398e-14,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
