layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8
0.000000000000000000e+00,9.999964604848673444e-01,3.434080228431789163e-06,1.050682128268329052e-07,3.491986048613028875e-10,1.631261319172779253e-11,1.167156364053761408e-12,1.073272374821655185e-14,2.762796844613614374e-15,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.999743722647147504e-01,2.549349710841034515e-05,1.016932491169609028e-07,2.733395796706697681e-08,2.781339410322069276e-09,2.371013597421989851e-09,4.561429130060085972e-11,1.300194460498063709e-11,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.999795534880052683e-01,1.871247647391417691e-05,1.046321006288617594e-06,5.793586559163970701e-07,9.202359750394369252e-08,1.272885696353900532e-08,2.840808848650170571e-09,7.625951103715667038e-10,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.986713465002033940e-01,1.321892708242655787e-03,6.063428463827858513e-06,5.485561699338436166e-07,9.385365274193482907e-08,3.479675863677069582e-08,1.449432716563108630e-08,5.662182910909362579e-09,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,9.994405375434057826e-01,3.952634624072182828e-04,1.539919498347587480e-04,9.278180119129655272e-06,6.052900357827287572e-07,2.108409889717356371e-07,9.182230852426994968e-08,2.091089978070184216e-08,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.987614792134625885e-01,9.756694150897668926e-04,2.130172767287136443e-04,3.728247618080154268e-05,1.126646340556787266e-05,5.459711316834678521e-07,4.877098344413505383e-07,2.514741675792889985e-07,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,9.958424181714553569e-01,3.943995669291266992e-03,1.525204666227036215e-04,3.783331112948519400e-05,1.694241905761746222e-05,4.462871644528202255e-06,1.306233780077486380e-06,5.208570204282823141e-07,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,9.957039159878063872e-01,3.171818194804302757e-03,7.610456658763980900e-04,2.527829687484494129e-04,4.856767066604601859e-05,2.676555722961728858e-05,1.980728217348555115e-05,1.529667269731855805e-05,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,9.948091060240090711e-01,2.637429568424276127e-03,1.571909582192743474e-03,5.709832132153889800e-04,2.453305149731063511e-04,1.068424224057707258e-04,4.643678585716252749e-05,1.196188892420939061e-05,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,9.763318653432054850e-01,1.937760676715538297e-02,2.799748997233414242e-03,6.332919124384124967e-04,5.061932246819468182e-04,1.812656441495342022e-04,1.119067734628307389e-04,5.812133767530848591e-05,9.994996742715753779e-01,5.002303075764037450e-04,9.541013535788406488e-08,1.071087259485246865e-11,7.674166871159690602e-16,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
