layer,fidelity_with_zero,chi_max_bond,circuit_depth,circuit_size
0.000000000000000000e+00,9.981765414627328248e-01,1.400000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00
1.000000000000000000e+00,9.973237069323828141e-01,1.600000000000000000e+01,1.100000000000000000e+01,1.800000000000000000e+01
2.000000000000000000e+00,9.967432562719320543e-01,1.600000000000000000e+01,1.300000000000000000e+01,2.700000000000000000e+01
3.000000000000000000e+00,9.654229180577440506e-01,1.600000000000000000e+01,1.500000000000000000e+01,3.600000000000000000e+01
4.000000000000000000e+00,9.816530832287838626e-01,1.600000000000000000e+01,1.700000000000000000e+01,4.500000000000000000e+01
5.000000000000000000e+00,9.421313618573133875e-01,1.600000000000000000e+01,1.900000000000000000e+01,5.400000000000000000e+01
6.000000000000000000e+00,9.524893171868001884e-01,1.600000000000000000e+01,2.100000000000000000e+01,6.300000000000000000e+01
7.000000000000000000e+00,9.584636201259789656e-01,1.600000000000000000e+01,2.300000000000000000e+01,7.200000000000000000e+01
8.000000000000000000e+00,9.695129788786780445e-01,1.600000000000000000e+01,2.500000000000000000e+01,8.100000000000000000e+01
9.000000000000000000e+00,9.584201214060020790e-01,1.600000000000000000e+01,2.700000000000000000e+01,9.000000000000000000e+01
1.000000000000000000e+01,9.432552505586774272e-01,1.600000000000000000e+01,2.900000000000000000e+01,9.900000000000000000e+01
1.100000000000000000e+01,9.640742142581523177e-01,1.600000000000000000e+01,3.100000000000000000e+01,1.080000000000000000e+02
1.200000000000000000e+01,9.371404285587522365e-01,1.600000000000000000e+01,3.300000000000000000e+01,1.170000000000000000e+02
1.300000000000000000e+01,9.421384477368488497e-01,1.600000000000000000e+01,3.500000000000000000e+01,1.260000000000000000e+02
1.400000000000000000e+01,9.462096370435758574e-01,1.600000000000000000e+01,3.700000000000000000e+01,1.350000000000000000e+02
1.500000000000000000e+01,9.251716643332255074e-01,1.600000000000000000e+01,3.900000000000000000e+01,1.440000000000000000e+02
1.600000000000000000e+01,9.089310597039093054e-01,1.600000000000000000e+01,4.100000000000000000e+01,1.530000000000000000e+02
1.700000000000000000e+01,9.333153031658645293e-01,1.600000000000000000e+01,4.300000000000000000e+01,1.620000000000000000e+02
1.800000000000000000e+01,8.336014143415436672e-01,1.600000000000000000e+01,4.500000000000000000e+01,1.710000000000000000e+02
1.900000000000000000e+01,9.344134536079481412e-01,1.600000000000000000e+01,4.700000000000000000e+01,1.800000000000000000e+02
2.000000000000000000e+01,9.172174115485931534e-01,1.600000000000000000e+01,4.900000000000000000e+01,1.890000000000000000e+02
