qubits,best_layer,fidelity
5.000000000000000000e+00,1.200000000000000000e+01,9.990809293483255971e-01
6.000000000000000000e+00,1.300000000000000000e+01,9.990769744039328382e-01
7.000000000000000000e+00,9.000000000000000000e+00,9.994841932465002854e-01
8.000000000000000000e+00,8.000000000000000000e+00,9.994046066978945486e-01
9.000000000000000000e+00,1.700000000000000000e+01,9.994416089059094954e-01
1.000000000000000000e+01,2.000000000000000000e+00,9.990666770729054180e-01
1.100000000000000000e+01,2.000000000000000000e+00,9.994740139377461530e-01
1.200000000000000000e+01,1.000000000000000000e+00,9.993860039915298810e-01
1.300000000000000000e+01,1.000000000000000000e+00,9.996921157217920628e-01
1.400000000000000000e+01,1.000000000000000000e+00,9.998457665036578623e-01
1.500000000000000000e+01,1.000000000000000000e+00,9.999227863135282668e-01
