layer,chi_s1,chi_s2,target_s1,target_s2
0.000000000000000000e+00,9.385320013955021912e-01,6.146799860449459613e-02,9.385320013955021912e-01,6.146799860449459613e-02
1.000000000000000000e+00,9.845615727856198429e-01,1.543842721438074862e-02,9.385320013955021912e-01,6.146799860449459613e-02
2.000000000000000000e+00,9.941361879781076549e-01,5.863812021891188879e-03,9.385320013955021912e-01,6.146799860449459613e-02
3.000000000000000000e+00,9.979177164271428868e-01,2.082283572857717303e-03,9.385320013955021912e-01,6.146799860449459613e-02
4.000000000000000000e+00,9.989428965514139946e-01,1.057103448585510960e-03,9.385320013955021912e-01,6.146799860449459613e-02
5.000000000000000000e+00,9.991731424611202117e-01,8.268575388822485724e-04,9.385320013955021912e-01,6.146799860449459613e-02
6.000000000000000000e+00,9.993952901434962621e-01,6.047098565042263079e-04,9.385320013955021912e-01,6.146799860449459613e-02
7.000000000000000000e+00,9.995500235255180277e-01,4.499764744798089478e-04,9.385320013955021912e-01,6.146799860449459613e-02
8.000000000000000000e+00,9.995988313874906162e-01,4.011686125063704711e-04,9.385320013955021912e-01,6.146799860449459613e-02
9.000000000000000000e+00,9.996476584383995334e-01,3.523415616035487606e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.000000000000000000e+01,9.996972515482185351e-01,3.027484517835507104e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.100000000000000000e+01,9.997335019666557798e-01,2.664980333414188681e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.200000000000000000e+01,9.997793932217989843e-01,2.206067782044020232e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.300000000000000000e+01,9.998152787442730061e-01,1.847212557254882524e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.400000000000000000e+01,9.998306727235438673e-01,1.693272764533144373e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.500000000000000000e+01,9.998491971744881690e-01,1.508028255138851522e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.600000000000000000e+01,9.998632317639450928e-01,1.367682360576881560e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.700000000000000000e+01,9.998850084360448864e-01,1.149915639560817145e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.800000000000000000e+01,9.998966625375707018e-01,1.033374624287192216e-04,9.385320013955021912e-01,6.146799860449459613e-02
1.900000000000000000e+01,9.999037565642140413e-01,9.624343578771217035e-05,9.385320013955021912e-01,6.146799860449459613e-02
2.000000000000000000e+01,9.999120326616601773e-01,8.796733834189706780e-05,9.385320013955021912e-01,6.146799860449459613e-02
