layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,chi_s9,chi_s10,chi_s11,chi_s12,chi_s13,chi_s14,chi_s15,chi_s16,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8,target_s9,target_s10,target_s11,target_s12,target_s13,target_s14,target_s15,target_s16
0.000000000000000000e+00,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.646791079859471374e-01,3.056596802496350587e-02,3.467698059249920469e-03,5.733684504900948701e-04,3.131793711598001239e-04,2.352025594814707843e-04,5.406970893235947892e-05,4.534673480241968504e-05,2.707612259311507869e-05,2.472590483442804412e-05,6.945343449871760146e-06,4.909298085993261634e-06,1.347776405563400257e-06,6.101397551053464347e-07,3.346345667714212996e-07,1.098852820828326074e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.784853258200203463e-01,1.659940273870635224e-02,2.696814905788588301e-03,8.474274716114981072e-04,5.363707987125410819e-04,3.449619310747359933e-04,2.050700441756454957e-04,1.176947715732826162e-04,6.021420185873427338e-05,4.170661585570060743e-05,3.051481981437647621e-05,1.965803739358063017e-05,9.209944510191013980e-06,3.698005953504014562e-06,1.545301292421377373e-06,3.845916577002561204e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.815407413942879300e-01,1.288892565735504439e-02,2.916519360220792226e-03,1.024134656612885053e-03,6.185081770881900674e-04,4.172232639022474261e-04,2.919334048354698058e-04,1.376351262608568784e-04,6.071163527402602655e-05,4.722492337446169080e-05,2.902565542660632362e-05,1.383456057083561873e-05,6.955122407686920197e-06,4.769517165098221241e-06,1.455268953793553611e-06,4.022762635026656902e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,9.820695925756155464e-01,1.219325809761898603e-02,2.896548517498951335e-03,1.038436000177248193e-03,7.794751800974504758e-04,4.071315367819130560e-04,3.008731382342292975e-04,1.243105830981531569e-04,6.544225177966921775e-05,4.224182403283748021e-05,3.846106861455133371e-05,2.266350645579816355e-05,1.130439473398316976e-05,7.042319523554018935e-06,2.719919381006835447e-06,4.990863557779289988e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,9.808693645415286211e-01,9.384616130257768252e-03,4.412848909980734459e-03,2.217304875414424781e-03,1.396619311469740610e-03,1.009561084238722950e-03,3.325990378015479618e-04,1.176012916620063016e-04,8.319943076410712447e-05,6.867472538624583474e-05,4.680177337292769769e-05,3.130818961523225354e-05,1.613074316941846370e-05,1.044233352330351447e-05,2.275597703364103148e-06,6.520241136095206493e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,9.811502965568474899e-01,5.657793286207645628e-03,4.980580590718623399e-03,3.606498544656851386e-03,1.931899084494809312e-03,1.487331137204600051e-03,7.080057099006222768e-04,2.371116899099783492e-04,9.729316201941752714e-05,5.787010661007874966e-05,3.546189090130952363e-05,2.436598176562365000e-05,1.235320875941090146e-05,9.391459533184379858e-06,2.820695988248549329e-06,9.268944813047838016e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000000e+00,9.809412475048056024e-01,7.721975538789034067e-03,4.888085157028367218e-03,2.364235348627104737e-03,1.383972108303783283e-03,1.276075508737081971e-03,7.049262703951723235e-04,5.421292008325073351e-04,4.627318179060430087e-05,3.830740931818546328e-05,3.755763925463220641e-05,2.745019441552569740e-05,2.002874910918373705e-05,5.683181323806316259e-06,1.681020538651491414e-06,3.719867292557144067e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,9.741673739143547062e-01,9.469501119954251353e-03,6.595662995760542130e-03,3.557592603168316554e-03,2.820919131288068815e-03,1.225678617862765952e-03,1.160568007999093418e-03,8.028605033047313006e-04,6.874762200957269787e-05,5.937936545332942481e-05,3.517920463556230981e-05,1.689919701268888648e-05,1.276584408552065036e-05,5.514208004035149638e-06,1.068438771460220257e-06,2.892263324243310400e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+00,9.626144664187700206e-01,1.661046816758515732e-02,8.338911541917206488e-03,5.265473812595644100e-03,2.797029390440787695e-03,2.566388081777515057e-03,1.187865376088709625e-03,4.575666809222884057e-04,6.673097992213600899e-05,4.015562164462391079e-05,2.272622577789548323e-05,1.284096096603504390e-05,1.066531424935470150e-05,6.839680906792588114e-06,1.266732118940060374e-06,6.050143190372838355e-07,9.367780367255287288e-01,5.981579219337929132e-02,2.689273357915486582e-03,4.053614511181889441e-04,2.735930399545362965e-04,3.765101688067309075e-05,2.750898338741270298e-07,1.201891805804585129e-08,4.786688758330919094e-09,1.985137295817629446e-10,1.206150560423265041e-10,5.863785604789913215e-13,4.547144600348182306e-14,1.881298675549937758e-14,0.000000000000000000e+00,0.000000000000000000e+00
