layer,chi_s1,chi_s2,chi_s3,chi_s4,chi_s5,chi_s6,chi_s7,chi_s8,target_s1,target_s2,target_s3,target_s4,target_s5,target_s6,target_s7,target_s8
0.000000000000000000e+00,9.976549228365667599e-01,1.982462663813409996e-03,2.561216798104921292e-04,1.050391704849429710e-04,1.060091551656847554e-06,3.512225507365639988e-07,3.194019617847253834e-08,1.039502579603469440e-08,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
1.000000000000000000e+00,9.976002127568370792e-01,1.456699046155499012e-03,6.969406257198659544e-04,2.445746384377537339e-04,9.996351108785106167e-07,4.700654458183960012e-07,7.415649553446504591e-08,2.907579775225939684e-08,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
2.000000000000000000e+00,9.977941933855686285e-01,1.450743729059018449e-03,5.767239509687650117e-04,1.762812183338786204e-04,1.119847380208651940e-06,7.224476023250760487e-07,1.871635967315987789e-07,2.825748920178646522e-08,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
3.000000000000000000e+00,9.947994962288944087e-01,3.863270116948193129e-03,1.077149985148131376e-03,2.519743567538583039e-04,4.587975227578950384e-06,1.855160482397382594e-06,9.850109440287360034e-07,6.811656009029945922e-07,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
4.000000000000000000e+00,9.909368046055933021e-01,6.011036915901998325e-03,2.500958119110135124e-03,5.371910401706093659e-04,9.002799179113595696e-06,2.939069488607770083e-06,1.156880791356993025e-06,9.105697638126512654e-07,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
5.000000000000000000e+00,9.890663319121729691e-01,7.080549630501900039e-03,2.801770972216999483e-03,1.030095203275078596e-03,1.253885694359548503e-05,4.448631534990455423e-06,3.218941779863848925e-06,1.045851576318200325e-06,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
6.000000000000000000e+00,9.847222225737927159e-01,9.149720458107787890e-03,4.384571582301292555e-03,1.707234672649166800e-03,2.406860150099709265e-05,7.582043798465546516e-06,2.862197120370277517e-06,1.737870729599515449e-06,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
7.000000000000000000e+00,9.780767479842670253e-01,1.293748151375591175e-02,5.952923847917449517e-03,2.976243358844992293e-03,3.358551376850209795e-05,1.622099755099956156e-05,4.619101413950777013e-06,2.177682480480114685e-06,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
8.000000000000000000e+00,9.742647995492302870e-01,1.585114505798467660e-02,6.406568392397608835e-03,3.395090113877587395e-03,3.715549343648633134e-05,2.789190794036388465e-05,9.180625166548127568e-06,8.168859964281075894e-06,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
9.000000000000000000e+00,9.706175956960680917e-01,1.779140370949251759e-02,8.016429220957880727e-03,3.435562397719201834e-03,8.419504388061964037e-05,2.450842720324117945e-05,1.991611895811577177e-05,1.038938572149378567e-05,9.957532479808345327e-01,3.930726855665873931e-03,3.134533399804270530e-04,1.494100158642596631e-06,1.051686497378078729e-06,2.601756138329815894e-08,1.881532850072784533e-11,4.844709582976058380e-13
