layer,chi_s1,chi_s2,chi_s3,chi_s4,target_s1,target_s2,target_s3,target_s4
0.000000000000000000e+00,9.987781512471956002e-01,1.220016717316982271e-03,1.610504149574507711e-06,2.215313378271741326e-07,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.000000000000000000e+00,9.975719742893305320e-01,2.420433018128584617e-03,7.180975962338944668e-06,4.117165777994853955e-07,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
2.000000000000000000e+00,9.986064011569877330e-01,1.386571746797779286e-03,5.583813354740099869e-06,1.443282859808182708e-06,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
3.000000000000000000e+00,9.977780219633115566e-01,2.202011145830904890e-03,1.689810036073747482e-05,3.068790496042316911e-06,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
4.000000000000000000e+00,9.900229606918560243e-01,9.935063383914269353e-03,3.902915753702033665e-05,2.946766692013585753e-06,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
5.000000000000000000e+00,9.940959920989802523e-01,5.864479355864188510e-03,3.193023900232039053e-05,7.598306155228075630e-06,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
6.000000000000000000e+00,9.913887210820706564e-01,8.525694275584689077e-03,6.937524352767470272e-05,1.620939881689675729e-05,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
7.000000000000000000e+00,9.856157010072136293e-01,1.430684497272004425e-02,5.957192508556829802e-05,1.788209497999373817e-05,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
8.000000000000000000e+00,9.493129154824788696e-01,5.053689483341362171e-02,1.087515065684552360e-04,4.143817753756093156e-05,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
9.000000000000000000e+00,9.795336439687434282e-01,2.020401077444378482e-02,2.072551961593280593e-04,5.509006065427124731e-05,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.000000000000000000e+01,9.743607375377880686e-01,2.385154040249875054e-02,1.556474967515596034e-03,2.312470922001944637e-04,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.100000000000000000e+01,9.757728083894045001e-01,2.221818714821693908e-02,1.310835732257019555e-03,6.981687301213755636e-04,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.200000000000000000e+01,9.748786620639664502e-01,2.165793990144483303e-02,2.582397483724981676e-03,8.810005508670782455e-04,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.300000000000000000e+01,9.739001933761139984e-01,2.141678850401150178e-02,3.068037863253446178e-03,1.614980256621142540e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.400000000000000000e+01,9.682414792822929828e-01,2.692170780465424559e-02,2.825554828037949492e-03,2.011258085013423527e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.500000000000000000e+01,9.711871952600449331e-01,2.296153841411607485e-02,3.610463769454725150e-03,2.240802556384429486e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.600000000000000000e+01,9.743287084091659667e-01,1.983563127203628873e-02,4.018756555312094116e-03,1.816903763486957821e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.700000000000000000e+01,9.675401058288978229e-01,2.447389789933729354e-02,5.299005697664926559e-03,2.686990574099181166e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.800000000000000000e+01,9.732133115687673364e-01,1.764814835100266682e-02,6.205515295461309921e-03,2.933024784766462539e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
1.900000000000000000e+01,9.694457481204997729e-01,1.828806976132363316e-02,7.198049786651736573e-03,5.068132331527494192e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
2.000000000000000000e+01,9.647031653794032602e-01,1.667056560570454385e-02,1.207198063850207018e-02,6.554288376390138803e-03,9.987521385691054965e-01,1.246051670009914927e-03,1.684145083137415274e-06,1.256158004706576097e-07
