layer,fidelity_with_zero,chi_max_bond,circuit_depth,circuit_size
0.000000000000000000e+00,9.288761220256120943e-01,1.600000000000000000e+01,9.000000000000000000e+00,9.000000000000000000e+00
1.000000000000000000e+00,9.572854933903344188e-01,1.600000000000000000e+01,1.100000000000000000e+01,1.800000000000000000e+01
2.000000000000000000e+00,9.682863550120509588e-01,1.600000000000000000e+01,1.300000000000000000e+01,2.700000000000000000e+01
3.000000000000000000e+00,9.759632107247052657e-01,1.600000000000000000e+01,1.500000000000000000e+01,3.600000000000000000e+01
4.000000000000000000e+00,9.645785741719969941e-01,1.600000000000000000e+01,1.700000000000000000e+01,4.500000000000000000e+01
5.000000000000000000e+00,9.382167126972664750e-01,1.600000000000000000e+01,1.900000000000000000e+01,5.400000000000000000e+01
6.000000000000000000e+00,9.651272372528093557e-01,1.600000000000000000e+01,2.100000000000000000e+01,6.300000000000000000e+01
7.000000000000000000e+00,9.690161439657972720e-01,1.600000000000000000e+01,2.300000000000000000e+01,7.200000000000000000e+01
8.000000000000000000e+00,9.304562876643692748e-01,1.600000000000000000e+01,2.500000000000000000e+01,8.100000000000000000e+01
9.000000000000000000e+00,9.565984664602069643e-01,1.600000000000000000e+01,2.700000000000000000e+01,9.000000000000000000e+01
1.000000000000000000e+01,9.431765814346847465e-01,1.600000000000000000e+01,2.900000000000000000e+01,9.900000000000000000e+01
1.100000000000000000e+01,9.549705054536898885e-01,1.600000000000000000e+01,3.100000000000000000e+01,1.080000000000000000e+02
1.200000000000000000e+01,9.536420988579724645e-01,1.600000000000000000e+01,3.300000000000000000e+01,1.170000000000000000e+02
1.300000000000000000e+01,8.971331597905957134e-01,1.600000000000000000e+01,3.500000000000000000e+01,1.260000000000000000e+02
1.400000000000000000e+01,9.450738027824321374e-01,1.600000000000000000e+01,3.700000000000000000e+01,1.350000000000000000e+02
1.500000000000000000e+01,9.323042858484043016e-01,1.600000000000000000e+01,3.900000000000000000e+01,1.440000000000000000e+02
1.600000000000000000e+01,9.554280981388776350e-01,1.600000000000000000e+01,4.100000000000000000e+01,1.530000000000000000e+02
1.700000000000000000e+01,9.246570592142085987e-01,1.600000000000000000e+01,4.300000000000000000e+01,1.620000000000000000e+02
1.800000000000000000e+01,9.529196373217785343e-01,1.600000000000000000e+01,4.500000000000000000e+01,1.710000000000000000e+02
1.900000000000000000e+01,8.580395739102210095e-01,1.600000000000000000e+01,4.700000000000000000e+01,1.800000000000000000e+02
2.000000000000000000e+01,9.327105920932756700e-01,1.600000000000000000e+01,4.900000000000000000e+01,1.890000000000000000e+02
