layer,chi_s1,chi_s2,target_s1,target_s2
0.000000000000000000e+00,9.980430754829608953e-01,1.956924517040979986e-03,9.980430754829624496e-01,1.956924517040989960e-03
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.200000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.300000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.600000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
1.900000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
2.000000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,9.980430754829624496e-01,1.956924517040989960e-03
